Classification,Summary
1,recurrent cutaneous cell non hodgkin lymphoma diagnosis and measurable and or evaluable disease per lugano classification
0,ovarian cancer diagnosis and subject with an old infection that has cleared may be included
0,recurrent gastric cancer diagnosis and severely impaired lung function as defined as spirometry and diffusion lung capacity of carbon monoxide dlco that is fifty of the normal predicted value and or two saturation that is eighty-eight or less at rest on room air
0,stage iva colon cancer diagnosis and prior treatment with sorafenib is not allowed
0,biliary tract neoplasms diagnosis and the presence of any severe concomitant disease that could interrupt the planned treatment
0,John's Wort
0,recurrent colon cancer diagnosis and patients with known allergy to cremaphor or cremophor based drug products
1,brain and central nervous system tumors diagnosis and concurrent steroid dosage must be stable
1,mantle cell lymphoma meeting one of the following criteria
1,stage iiic breast cancer diagnosis and the patient must have completed one of the procedures for evaluation of pathologic nodal status listed below
0,colorectal neoplasms diagnosis and patient immediately eligible for curative therapy surgical and or percutaneous after discussion in cpr
0,multiple myeloma diagnosis and if neither prior myeloablative autologous transplant less_than twelve months from transplant nor have received at least two cycles of multi agent or highly immunosuppressive chemotherapy induction for acute leukemia within the three months preceding this study patients are eligible as long as they receive equine anti thymocyte_globulin as part of the conditioning regimen
1,recurrent colon cancer diagnosis and patients must have histologically proven hertwo overexpressing malignancy as determined by any standardized assay currently in clinical use
0,ovarian serous tumor diagnosis and significant acute or chronic medical neurologic or psychiatric illness in the subject that in the judgment of the investigator could compromise subject safety limit the subject ability to complete the study and or compromise the objectives of the study
1,histology proven unresectable hepatocellular carcinoma
0,bladder cancer diagnosis and use of strong cypthreeafour inhibitors or inducers is prohibited on study
0,oral cavity squamous cell carcinoma diagnosis and patients who receive rt or crt with palliative intent and have prognosis of less than one year survival
1,esophageal cancer diagnosis and no grade two or greater peripheral neuropathy
0,stage ib esophageal adenocarcinoma diagnosis and patients with history of allergic reactions attributed to compounds of similar chemical or biologic composition to platinums taxanes or fluoropyrimidines
0,recurrent childhood visual pathway glioma diagnosis and hemoglobin greater_than equal_than eight dl may receive transfusions
